Seed, ID, Energy, Psi, Impact, Triggered, Psi, Impact, Cherenkov, Psi, Impact
9, 1, 2.34227e+19, 2.229369, 16.288495, 1, 1.135652, 5.860152, 0, 0.000000, 0.000000
9, 2, 5.74433e+19, 2.608505, 20.104310, 1, 1.388056, 8.911720, 0, 0.000000, 0.000000
9, 3, 4.27172e+20, 1.469228, 33.543950, 1, 1.431828, 32.073177, 1, 1.609240, 38.068685
9, 4, 2.64838e+20, 1.809610, 6.065037, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
9, 5, 3.01711e+17, 1.447277, 37.084168, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
9, 6, 1.28071e+19, 1.483854, 24.937982, 1, 1.364152, 21.786231, 1, 1.477842, 24.493192
9, 7, 6.16758e+17, 0.805511, 5.946751, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
9, 8, 6.52421e+20, 1.914905, 23.296352, 1, 1.726702, 20.153645, 1, 1.891284, 22.619164
9, 9, 2.03104e+18, 1.207556, 34.980043, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
9, 10, 1.86192e+19, 0.539386, 21.169896, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
9, 11, 2.29799e+20, 1.557588, 4.028136, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
9, 12, 2.77202e+20, 1.666215, 3.247417, 1, 1.715060, 5.618839, 1, 1.004246, 2.762214
9, 13, 5.69094e+17, 0.701571, 25.913572, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
9, 14, 1.64505e+17, 1.656538, 37.075175, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
9, 15, 9.50757e+20, 1.771399, 14.363243, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
9, 16, 2.58458e+20, 1.524988, 31.164944, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
9, 17, 1.60882e+19, 0.720560, 20.427327, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
9, 18, 5.22527e+18, 1.625329, 16.355775, 1, 1.385827, 12.800100, 1, 1.587671, 15.566722
9, 19, 4.35451e+20, 1.561817, 3.672648, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
9, 20, 1.38042e+20, 0.929375, 29.174881, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
9, 21, 1.55702e+20, 1.099228, 6.174063, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
9, 22, 5.20071e+17, 2.361503, 18.669677, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
9, 23, 1.50279e+17, 1.800177, 38.223090, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
9, 24, 3.43094e+20, 2.318513, 25.856519, 1, 2.285249, 25.412226, 1, 2.404743, 26.371866
9, 25, 8.58934e+20, 1.080047, 18.513774, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
9, 26, 1.06411e+20, 1.394941, 21.408277, 1, 1.128533, 14.919142, 1, 1.320605, 19.323915
9, 27, 3.32951e+20, 2.353870, 23.213225, 1, 2.364203, 23.204654, 1, 2.304938, 22.573228
9, 28, 4.19385e+17, 0.934355, 23.592689, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
9, 29, 2.97915e+20, 1.270582, 32.753873, 1, 1.237866, 30.961340, 0, 0.000000, 0.000000
