Seed, ID, Energy, Psi, Impact, Triggered, Psi, Impact, Cherenkov, Psi, Impact
1,1,7.61E+19,1.578172,38.63546,1,1.477869,35.115427,1,3.012112,70.062851
1,2,3.94E+20,1.42421,12.666413,0,0,0,0,0,0
1,3,3.08E+18,1.992768,13.167158,1,1.966289,12.980092,0,0,0
1,4,4.20E+19,1.012568,6.364674,0,0,0,0,0,0
1,5,1.61E+18,2.011868,6.695901,0,0,0,0,0,0
1,6,1.60E+20,2.044534,15.928926,0,0,0,0,0,0
1,7,5.26E+20,0.53619,18.80569,0,0,0,0,0,0
1,8,3.34E+18,1.640449,33.387711,0,0,0,0,0,0
1,9,4.15E+18,2.117473,35.353829,0,0,0,0,0,0
1,10,1.55E+17,2.774074,39.558725,0,0,0,0,0,0
1,11,1.36E+20,0.80087,32.125361,1,0.784731,30.9903,1,2.472768,337.356995
1,12,1.72E+20,1.024516,14.688966,0,0,0,0,0,0
1,13,2.26E+17,1.689904,34.487031,0,0,0,0,0,0
1,14,9.13E+20,1.025586,35.920166,0,0,0,0,0,0
1,15,3.33E+17,1.230657,5.517204,0,0,0,0,0,0
1,16,3.26E+19,2.424824,39.820837,0,0,0,0,0,0
1,17,1.21E+18,2.444873,29.27493,0,0,0,0,0,0
1,18,4.84E+18,1.330642,36.602665,0,0,0,0,0,0
1,19,1.15E+17,1.501724,19.380062,0,0,0,0,0,0
1,20,5.19E+18,1.507131,26.407875,0,0,0,0,0,0
1,21,1.20E+19,0.657086,39.625168,0,0,0,0,0,0
1,22,1.31E+20,1.716249,31.723554,1,1.774179,33.141708,1,1.597382,28.473748
1,23,1.33E+17,1.872137,10.777125,0,0,0,0,0,0
1,24,1.45E+17,2.774681,36.806537,0,0,0,0,0,0
1,25,5.04E+20,0.874103,4.696908,0,0,0,0,0,0
1,26,2.04E+20,1.664798,35.163624,1,1.613346,33.469109,1,1.748345,37.418554
1,27,1.38E+17,2.228654,23.432603,0,0,0,0,0,0
1,28,7.51E+17,1.179586,35.535128,0,0,0,0,0,0
1,29,5.85E+19,1.722506,35.349031,1,1.606226,32.061782,1,1.87471,39.524405
1,30,7.31E+18,1.884937,27.993008,0,0,0,0,0,0
1,31,6.88E+20,2.180458,19.170232,0,0,0,0,0,0
1,32,6.06E+19,2.142652,37.03904,1,1.571058,25.136581,1,2.711889,43.993446
1,33,5.83E+19,2.664291,33.091986,1,2.971889,34.254553,0,0,0
1,34,2.36E+18,1.500829,30.880956,0,0,0,0,0,0
1,35,1.39E+20,1.21215,36.842079,1,1.167648,34.627641,1,1.594843,56.081971
1,36,1.60E+18,1.459822,29.695902,0,0,0,0,0,0
1,37,6.52E+19,1.637579,5.107985,0,0,0,0,0,0
1,38,2.36E+20,0.924307,20.369833,1,0.930494,20.595336,1,0.883795,19.067463
1,39,1.85E+20,1.827126,11.679226,0,0,0,0,0,0
1,40,3.23E+19,1.96312,36.436376,1,1.172056,16.888646,1,2.434149,44.011358
1,41,9.40E+18,1.641743,8.001274,1,1.639695,8.001725,1,1.601463,7.748689
1,42,1.13E+18,2.030901,18.727388,0,0,0,0,0,0
1,43,8.62E+20,1.66464,34.076578,0,0,0,0,0,0
1,44,9.58E+17,0.799984,35.116802,0,0,0,0,0,0
1,45,1.34E+19,0.395109,38.42969,0,0,0,0,0,0
1,46,5.24E+19,1.65243,17.453078,0,0,0,0,0,0
1,47,2.63E+19,1.649838,28.243547,0,0,0,0,0,0
1,48,1.57E+17,2.162085,15.495086,0,0,0,0,0,0
1,49,3.08E+20,1.384132,6.403889,0,0,0,0,0,0
1,50,3.06E+19,1.475736,31.184814,1,1.416824,29.291649,0,0,0
1,51,1.85E+19,2.826857,9.044677,1,0.133873,0.27771,0,0,0
1,52,2.84E+20,1.69295,9.912103,1,1.668528,9.635989,1,1.700925,9.861438
1,53,2.87E+19,1.164551,28.631775,1,1.220363,30.902122,1,1.11346,26.642835
1,54,2.57E+19,1.577451,30.559317,1,1.263107,21.099853,0,0,0
1,55,3.22E+19,2.658054,11.280456,0,0,0,0,0,0
1,56,9.40E+19,1.55327,30.54888,1,1.527812,29.899445,0,0,0
1,57,4.79E+18,1.758029,20.595963,0,0,0,0,0,0
1,58,2.67E+19,1.632293,24.975763,1,1.587256,23.989686,1,1.645913,25.220699
1,59,9.98E+17,2.126959,7.329943,0,0,0,0,0,0
1,60,6.33E+19,1.163048,5.619078,1,1.178205,5.732633,1,1.168476,5.743391
1,61,1.54E+20,1.197205,21.667992,1,1.12419,19.485293,1,1.295435,24.243674
1,62,1.00E+19,0.473537,36.013325,0,0,0,0,0,0
1,63,3.81E+19,1.480069,35.945526,0,0,0,0,0,0
1,64,2.18E+19,2.899685,15.652431,1,0.804291,2.356818,0,0,0
1,65,7.11E+19,1.241161,12.013062,1,1.034513,8.687731,0,0,0
1,66,7.32E+20,1.24482,26.861363,1,1.290079,28.577117,0,0,0
1,67,2.70E+19,1.267245,8.382696,1,1.255541,8.272301,1,1.262882,8.408596
1,68,9.55E+20,1.080185,13.599289,1,1.093877,13.959063,0,0,0
1,69,4.96E+20,2.652841,8.646318,0,0,0,0,0,0
