Seed,ID,Energy,Psi(deg),Impact(km),Ground(km),Triggered,Psi(deg),Impact(km),Ground(km),Cherenkov,Psi(deg),Impact(km),Ground(km)
1,1,1.81E+20,83.768333,32.331444,32.546477,1,84.395866,32.64826,32.825649,1,95.74904,38.946957,39.12389
1,2,2.06E+20,45.13571,8.369671,12.104476,1,43.725932,7.957042,11.821704,1,43.321558,8.061169,12.063623
1,3,6.75E+19,131.456355,26.471999,35.120879,1,68.707117,10.846288,11.73159,1,135.903127,26.733059,38.182995
1,4,4.94E+19,89.635786,34.902742,34.906471,1,86.389836,33.140425,33.225717,1,97.661097,38.906709,39.219477
1,5,3.12E+20,53.799711,17.056952,21.29571,1,54.573078,17.457208,21.577583,1,52.302818,16.467758,20.979365
1,6,6.20E+20,78.382688,26.320393,26.91557,1,82.142808,28.136306,28.433179,1,70.169689,22.265562,23.74695
1,7,5.97E+19,137.710241,22.089832,32.311946,1,62.787283,10.075962,11.576426,0,0,0,0
1,8,1.39E+20,87.797735,19.02204,19.04492,1,89.583476,19.477071,19.480094,1,83.47578,17.622393,17.761457
1,9,5.11E+19,73.299004,37.992733,39.730261,1,67.096807,32.501751,35.373666,1,123.055406,75.699138,90.179759
1,10,3.35E+19,80.43854,24.507393,24.887618,1,80.306215,24.337376,24.725352,1,78.302381,23.477715,24.018472
1,11,2.74E+20,37.365267,29.181456,48.350678,1,37.638065,29.393476,48.397722,1,60.734689,64.446916,73.990528
1,12,8.83E+20,163.461466,13.132053,45.3849,1,37.137618,1.90212,3.451215,0,0,0,0
1,13,9.88E+18,125.097491,19.802735,24.053953,1,120.552119,19.071476,22.02072,1,124.943501,19.628875,23.797245
1,14,6.75E+20,117.195405,36.3774,40.782173,1,108.731095,33.164049,34.942376,1,117.695386,36.268148,40.842223
1,15,3.90E+19,76.593121,38.880741,40.032248,1,77.952376,39.967514,40.923413,1,71.948087,35.496065,37.418587
1,16,3.55E+18,66.096816,13.523012,14.882814,1,65.880217,13.352027,14.721332,1,64.136609,12.888763,14.423048
1,17,7.11E+20,103.343885,24.580321,25.215431,1,63.606108,11.057407,12.446817,0,0,0,0
1,18,5.45E+19,82.842306,27.252448,27.492606,1,77.719569,24.600016,25.220868,1,89.743607,30.386015,30.387894
1,19,2.56E+18,86.991989,5.999766,6.021876,1,90.211647,6.210516,6.213042,0,0,0,0
1,20,3.97E+20,95.711139,25.40529,25.51271,1,94.62334,25.032732,25.098998,1,95.931445,25.480155,25.597206
1,21,1.38E+20,44.342485,35.447813,51.040694,1,43.088436,33.585088,49.498643,0,0,0,0
1,22,1.74E+20,48.442115,36.436287,48.892146,1,48.23836,36.196533,48.726428,1,55.566675,45.447945,55.256827
1,23,1.34E+20,89.367864,19.4986,19.503032,1,87.735328,18.859815,18.883556,1,84.573784,17.902985,18.003747
1,24,1.93E+20,74.219714,33.36418,34.736003,1,82.293439,38.68216,39.066141,0,0,0,0
1,25,8.15E+20,79.784723,35.709017,36.32876,1,80.465351,36.164085,36.712235,1,83.048477,37.876656,38.187516
1,26,2.14E+20,89.023944,30.516512,30.525954,1,81.385782,26.606859,26.947622,1,91.101571,31.303571,31.305679
1,27,7.23E+20,84.759007,36.464859,36.636865,1,74.457287,29.335065,30.504891,0,0,0,0
1,28,4.38E+20,111.922034,36.45447,39.161003,1,109.285974,35.468083,37.460271,1,109.645703,35.491039,37.565738
1,29,5.41E+20,90.485265,33.670404,33.670512,1,90.545959,33.555093,33.555307,1,100.133643,38.476575,39.051084
1,30,1.03E+20,90.066338,19.767147,19.76794,1,90.075316,19.753925,19.754692,1,94.96111,21.215839,21.279199
1,31,1.62E+20,74.573029,34.943295,36.30595,1,73.069719,33.805208,35.39908,1,77.736813,37.221917,38.135732
1,32,8.97E+20,88.065957,27.519106,27.542271,1,82.654497,24.639695,24.870168,1,90.370597,28.147744,28.14775
1,33,5.70E+20,59.736079,27.624516,32.100988,1,59.762294,27.654702,32.127272,1,58.310509,26.701833,31.504761
1,34,3.00E+19,78.28283,36.158819,36.970533,1,63.389788,25.874229,29.040999,1,85.261352,41.282804,41.441533
1,35,4.95E+20,97.602099,32.044039,32.301657,1,98.05656,32.264027,32.557466,1,173.302169,51.320129,438.280041
1,36,5.26E+19,61.649688,35.207598,40.122245,1,67.636243,40.464523,43.844139,0,0,0,0
1,37,7.77E+20,91.022038,36.153181,36.155624,1,76.696044,27.525962,28.338888,1,95.067308,38.008021,38.137953
1,38,2.00E+20,45.138723,12.260709,17.498235,1,44.784131,12.11605,17.402899,1,48.622749,13.922663,18.73211
1,39,3.91E+20,140.544226,35.279045,55.269293,1,85.171899,19.230701,19.317375,1,142.126113,35.267297,57.185163
1,40,1.26E+20,88.564893,37.588828,37.608398,1,60.441264,19.965872,23.107324,1,88.314686,37.102197,37.127141
1,41,2.72E+19,82.193648,31.474545,31.79795,1,51.342733,13.888593,17.951689,0,0,0,0
