Seed,ID,Energy,Angle(deg),Impact(km),Ground(km),Triggered,Angle(deg),Impact(km),Ground(km),Cherenkov,Angle(deg),Impact(km),Ground(km)
7,1,1.02875e+20,59.308338,20.705565,24.249544,1,58.200200,20.088961,23.815358,1,59.838722,21.093051,24.563116
7,2,7.63415e+19,104.486479,35.591540,36.702081,1,98.525799,33.007892,33.343337,1,110.035633,37.854470,40.210529
7,3,2.29324e+19,110.109879,37.005530,39.335148,1,80.334659,23.672261,24.048101,1,112.804886,38.111906,41.259938
7,4,7.34862e+19,57.217390,34.310431,40.939550,1,52.717057,29.946093,37.789902,1,77.209580,55.200379,56.650716
7,5,2.15396e+20,33.238053,33.038547,60.621417,1,32.740511,31.824573,59.194102,0,0,0,0
7,6,8.98941e+18,71.591899,22.473364,23.756419,1,69.987785,21.723442,23.197131,1,76.122251,24.740789,25.537644
7,7,4.46446e+19,92.587936,39.012119,39.043414,1,74.332014,27.779825,28.908716,1,91.530933,38.209105,38.217923
7,8,1.65763e+20,89.873929,27.625056,27.626287,1,88.955659,27.232021,27.240927,1,98.445011,31.227101,31.540333
7,9,3.56436e+20,102.496705,11.582414,11.820834,1,102.670620,11.521031,11.765331,1,102.195761,11.411977,11.633959
7,10,2.82244e+19,136.324145,34.439090,49.657560,1,75.832958,16.121358,16.679588,1,143.383566,35.671226,59.532240
7,11,5.12237e+20,73.723295,32.878933,34.311679,1,71.916131,31.604648,33.313887,1,85.641538,41.039159,41.174166
7,12,3.89708e+19,76.197170,34.688750,35.773860,1,59.695478,23.038690,26.811641,1,80.715750,37.460225,37.993240
7,13,3.52224e+19,67.709616,29.235969,31.683475,1,62.691709,25.608896,28.929550,1,65.759241,27.737540,30.514447
7,14,5.78417e+20,65.458250,18.949281,20.924805,1,64.972360,18.752371,20.791312,1,67.159944,19.817089,21.589497
7,15,4.76385e+19,151.117684,21.264908,43.576047,1,67.510707,8.381309,9.177394,0,0,0,0
7,16,1.12362e+20,98.095296,35.910565,36.241856,1,93.264452,33.509334,33.552153,1,101.299857,37.417482,38.114530
7,17,2.02435e+20,94.159761,20.646318,20.686671,1,91.699302,19.900866,19.904508,1,96.788250,21.379007,21.506018
7,18,2.0212e+20,55.147312,37.781644,46.202167,1,53.398244,35.851765,44.831134,1,71.334231,56.312411,59.517517
7,19,5.40947e+19,89.358469,36.006135,36.011192,1,83.676439,32.505269,32.727056,1,168.203499,66.126229,322.497572
7,20,1.64884e+18,90.600897,6.771573,6.772803,1,88.729220,6.532995,6.542100,1,88.820446,6.549668,6.558228
7,21,1.72052e+20,88.268767,10.909878,10.923159,1,93.351332,11.721261,11.730989,1,86.066695,10.479789,10.520922
7,22,1.5039e+20,97.496520,7.054407,7.091634,1,98.401145,7.149660,7.200346,1,96.246130,6.926761,6.949043
7,23,1.14128e+20,73.254937,20.397923,21.366223,1,73.739701,20.617184,21.539324,1,72.247100,20.060624,21.132826
7,24,4.14933e+19,84.697654,31.379006,31.534325,1,84.508902,31.315185,31.480721,1,82.507597,30.256966,30.546240
7,25,9.84941e+19,47.238846,24.389296,33.436932,1,44.846727,22.216043,31.738383,1,43.967125,21.681907,31.473994
7,26,9.38359e+20,77.418016,18.242358,18.736971,1,77.023101,18.113936,18.635883,1,76.596080,18.011651,18.564811
7,27,3.34577e+20,120.649356,25.398982,29.039511,1,22.610919,6.021583,17.586330,0,0,0,0
7,28,1.73414e+19,45.943719,13.527518,19.034878,1,49.489231,15.139875,20.100118,0,0,0,0
7,29,1.06554e+20,85.521528,38.191176,38.324334,1,65.608918,24.587131,27.088102,0,0,0,0
7,30,4.47962e+20,110.685883,39.054308,41.663700,1,107.699474,37.771388,39.579062,1,174.213904,53.712129,530.624409
7,31,3.63266e+19,32.360035,5.874453,11.302225,1,32.193031,5.813194,11.240061,0,0,0,0
7,32,1.16215e+20,76.211341,21.668736,22.362102,1,75.008245,21.143154,21.943061,1,73.563497,20.590144,21.527839
7,33,7.90765e+19,126.000297,27.229189,33.509006,1,100.805946,21.056884,21.398881,1,135.678422,28.944973,41.218498
7,34,6.69453e+18,131.976980,13.662456,18.199162,1,119.139745,12.403660,14.090935,1,132.813561,13.608740,18.367207
7,35,5.69575e+19,73.472337,8.985386,9.440705,1,77.326374,9.674677,9.968199,0,0,0,0
7,36,2.11126e+20,116.061394,39.488488,43.830796,1,112.886764,38.304223,41.467838,1,109.345431,36.824628,38.937297
7,37,7.72859e+19,84.982882,31.583050,31.722712,1,79.123864,28.058600,28.610954,1,78.748797,27.894106,28.481194
7,38,2.67604e+20,49.229404,29.389951,38.994910,1,48.613048,28.202361,37.781203,1,47.818413,27.558917,37.387064
7,39,1.45563e+20,90.028398,20.139970,20.140867,1,89.858250,20.046530,20.048084,1,93.274721,21.097423,21.121433
7,40,8.91069e+20,91.476698,23.901447,23.905049,1,90.257708,23.247762,23.247962,1,93.377900,24.379669,24.411058
7,41,1.08693e+20,104.646730,19.747021,20.350231,1,99.449466,18.341427,18.556221,1,107.860684,20.269280,21.221432
7,42,4.1796e+20,127.385702,18.817871,23.504632,1,101.532921,14.493399,14.746052,1,131.549169,19.086625,25.296885
7,43,1.68189e+20,86.591620,22.174348,22.226751,1,81.010119,19.749951,20.028926,1,81.460975,19.948630,20.203935
7,44,6.93534e+18,105.932342,18.716064,19.383604,1,78.264442,12.374758,12.701450,0,0,0,0
7,45,7.12834e+19,66.177115,30.431359,33.364637,1,65.581237,30.014313,33.064652,1,77.845641,38.894742,39.835137
7,46,4.57828e+19,33.171374,21.905747,40.345782,1,33.403110,22.118005,40.482722,0,0,0,0
7,47,8.47196e+20,88.726919,25.653038,25.664599,1,88.498055,25.574422,25.589240,1,88.280520,25.492206,25.510482
7,48,4.36684e+19,92.668261,10.434639,10.438554,1,93.466872,10.523429,10.532497,1,90.091319,10.005670,10.007366
7,49,2.80525e+19,95.367658,36.066479,36.207025,1,90.644981,33.020309,33.020752,1,112.684834,44.129450,47.746062
7,50,2.83631e+19,165.968208,32.359104,132.654059,1,16.523121,1.000834,4.204154,0,0,0,0
7,51,9.6339e+19,50.134820,32.380671,42.556096,1,47.601520,31.015604,42.407380,0,0,0,0
7,52,4.41983e+20,85.062041,30.077721,30.208303,1,76.189922,25.092004,25.890451,1,84.130584,29.239434,29.415446
7,53,1.76975e+19,101.266418,29.986300,30.535994,1,96.624728,28.085404,28.251486,1,118.526025,36.214784,41.109599
7,54,4.10814e+19,82.943665,29.585687,29.837372,1,82.875763,29.558944,29.815060,1,148.174384,56.906548,107.585583
7,55,2.36821e+20,69.031684,39.134631,41.993314,1,70.363952,40.340362,42.908745,1,120.312314,83.349683,96.423200
7,56,6.21591e+20,123.589012,37.171800,44.487749,1,111.690712,32.941177,35.371000,1,172.141233,45.248577,329.454641
7,57,9.21546e+19,44.209608,17.580502,25.419272,1,44.219114,17.555537,25.379108,1,44.258160,17.723829,25.602355
7,58,8.6918e+18,125.585886,10.973898,13.347592,1,127.714124,11.153629,13.941007,1,123.698359,10.710879,12.737900
7,59,1.34474e+20,116.126478,35.362855,39.289275,1,103.275531,30.634980,31.429362,1,118.761416,36.165380,41.145200
7,60,4.65289e+19,61.250103,27.818836,31.841023,1,61.140700,27.752441,31.799042,1,77.352738,40.300953,41.348623
7,61,4.59119e+20,108.499248,28.877250,30.363557,1,95.568116,24.488457,24.580330,1,111.287125,29.509695,31.569152
7,62,1.64436e+20,111.774308,16.598815,17.795149,1,111.524962,16.579588,17.744644,1,114.115449,16.936052,18.466858
