Seed, ID, Energy, Psi, Impact, Triggered, Psi, Impact, Cherenkov, Psi, Impact
3, 1, 2.5431e+20, 0.894303, 14.707895, 1, 0.889434, 14.441897, 1, 0.861798, 13.974699
3, 2, 1.81882e+20, 1.644229, 38.206498, 1, 1.412287, 30.481809, 1, 1.585681, 36.167566
3, 3, 5.2546e+20, 0.415455, 31.072600, 1, 0.409663, 29.812677, 0, 0.000000, 0.000000
3, 4, 2.1916e+19, 1.257429, 29.724139, 1, 1.299891, 31.353178, 1, 1.297369, 31.366237
3, 5, 5.7948e+19, 2.202357, 38.295848, 1, 1.950808, 33.255352, 1, 2.216565, 38.054868
3, 6, 3.77968e+19, 1.720055, 21.673802, 1, 1.574858, 19.092664, 1, 1.729360, 21.617596
3, 7, 1.09029e+20, 1.736381, 3.583504, 1, 1.666427, 3.357773, 1, 1.744295, 3.527107
3, 8, 2.8682e+20, 1.062278, 34.189978, 1, 0.976050, 29.429632, 1, 1.106272, 36.345286
3, 9, 8.94559e+20, 1.764076, 36.884882, 1, 1.523495, 30.024580, 1, 1.757364, 36.389423
3, 10, 2.39617e+20, 0.582315, 27.467427, 1, 0.564866, 25.772910, 0, 0.000000, 0.000000
3, 11, 1.16322e+19, 2.319888, 36.832447, 1, 1.224903, 15.699843, 0, 0.000000, 0.000000
3, 12, 2.22947e+19, 1.797015, 20.245792, 1, 1.700076, 18.757170, 1, 1.779490, 19.821152
3, 13, 3.72473e+19, 1.599767, 30.394713, 1, 1.466756, 26.436495, 1, 1.521226, 27.936187
3, 14, 7.62712e+19, 1.575875, 19.834110, 1, 1.527703, 18.966414, 1, 1.604593, 20.292384
3, 15, 7.19796e+19, 0.666512, 32.084933, 1, 0.708710, 35.156497, 0, 0.000000, 0.000000
3, 16, 2.66986e+20, 1.399137, 28.249027, 1, 1.092003, 25.532347, 0, 0.000000, 0.000000
3, 17, 2.76441e+20, 0.652076, 32.374665, 1, 0.640725, 31.244499, 1, 0.782518, 43.534823
3, 18, 1.93122e+19, 0.469906, 22.426272, 1, 2.539060, 8.343441, 0, 0.000000, 0.000000
3, 19, 5.64378e+20, 1.681624, 27.133791, 1, 1.556615, 24.274158, 1, 1.757983, 28.541785
3, 20, 8.22691e+19, 1.283299, 8.550457, 1, 1.215870, 7.933794, 0, 0.000000, 0.000000
3, 21, 4.46296e+20, 2.149191, 39.031146, 1, 2.054469, 36.901861, 1, 2.160640, 38.742748
3, 22, 8.01443e+19, 1.899247, 32.377776, 1, 1.319363, 19.269657, 0, 0.000000, 0.000000
3, 23, 2.86236e+20, 1.543464, 36.325418, 1, 1.515066, 35.068963, 1, 1.517249, 35.166445
3, 24, 1.20686e+20, 1.074571, 26.343912, 1, 1.028038, 24.496890, 1, 1.162115, 29.795586
3, 25, 1.62508e+20, 1.760289, 37.606521, 1, 1.510299, 29.972599, 1, 1.718730, 35.960401
3, 26, 9.92435e+20, 1.669059, 5.920956, 1, 1.644009, 5.765262, 1, 1.651059, 5.780755
3, 27, 1.66056e+20, 1.738034, 38.495709, 1, 1.459134, 29.965570, 1, 1.688365, 36.743401
3, 28, 1.05126e+20, 1.543341, 33.001067, 1, 1.493456, 31.385337, 1, 1.514960, 32.076362
3, 29, 9.34954e+19, 1.745413, 25.287420, 1, 1.696972, 24.833734, 0, 0.000000, 0.000000
3, 30, 7.37969e+20, 1.193526, 33.120965, 1, 1.189709, 32.978464, 1, 1.225156, 34.648812
3, 31, 2.95873e+20, 2.484947, 19.505651, 1, 1.738859, 13.302005, 0, 0.000000, 0.000000
3, 32, 3.5075e+19, 1.570456, 20.584445, 1, 1.548800, 20.191411, 1, 1.553086, 20.280435
3, 33, 9.06096e+19, 1.578069, 20.875588, 1, 1.566688, 20.575576, 1, 1.532678, 19.965880
3, 34, 4.16297e+20, 1.340826, 26.490362, 1, 1.372613, 27.402534, 1, 1.273210, 24.591981
