Seed, ID, Energy, Psi, Impact, Triggered, Psi, Impact, Cherenkov, Psi, Impact
2, 1, 1.57997e+19, 1.245596, 7.088627, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 2, 3.04206e+19, 1.611912, 35.454116, 1, 1.448593, 29.996635, 1, 1.653167, 36.474933
2, 3, 2.44782e+19, 2.278447, 17.556386, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 4, 5.76749e+18, 1.516094, 25.132110, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 5, 2.49648e+18, 1.511330, 5.750339, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 6, 2.29126e+17, 2.158381, 35.288111, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 7, 2.2669e+20, 2.061834, 34.804748, 1, 0.816518, 7.433865, 0, 0.000000, 0.000000
2, 8, 5.1865e+18, 2.355096, 28.075711, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 9, 1.30645e+19, 1.301165, 5.687032, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 10, 1.11021e+18, 1.290179, 14.070934, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 11, 2.61484e+20, 2.393052, 17.991198, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 12, 2.32512e+19, 0.425433, 23.905429, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 13, 1.55558e+20, 1.886792, 35.992901, 1, 1.694075, 31.061299, 1, 3.012999, 51.221621
2, 14, 3.64503e+20, 1.644945, 23.724520, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 15, 2.0984e+19, 2.744163, 26.634650, 1, 0.311365, 1.859364, 0, 0.000000, 0.000000
2, 16, 4.96229e+20, 1.703233, 32.787196, 1, 1.621403, 30.620811, 1, 1.868348, 36.621484
2, 17, 1.41781e+17, 1.576003, 10.219712, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 18, 2.18005e+17, 1.279089, 26.234041, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 19, 1.04723e+17, 1.658403, 35.260476, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 20, 3.45389e+20, 2.364397, 38.878845, 1, 1.698048, 27.608135, 0, 0.000000, 0.000000
2, 21, 1.32898e+17, 1.293761, 33.968865, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 22, 2.43906e+20, 2.251034, 8.794980, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 23, 1.41707e+17, 1.580482, 25.674638, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 24, 5.43767e+20, 2.448897, 22.704462, 1, 1.451192, 11.919537, 1, 2.379892, 21.736514
2, 25, 1.4694e+18, 1.380791, 38.673844, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 26, 2.20739e+18, 2.219759, 16.501385, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 27, 5.12322e+17, 1.209270, 6.053550, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 28, 3.44099e+20, 1.735944, 16.575080, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 29, 4.74421e+17, 0.995463, 39.462337, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 30, 4.33226e+20, 1.569583, 7.726541, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 31, 9.81142e+17, 1.499243, 28.264374, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 32, 1.1165e+20, 1.636059, 25.124923, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 33, 8.51532e+20, 0.722801, 36.386782, 1, 0.701560, 34.705659, 0, 0.000000, 0.000000
2, 34, 1.96168e+17, 1.266674, 10.029190, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 35, 1.13435e+19, 1.143710, 35.832489, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 36, 7.6237e+20, 0.838452, 31.174993, 1, 0.797302, 28.057567, 1, 0.958648, 38.566257
2, 37, 2.32333e+20, 1.545057, 33.098117, 1, 1.124701, 19.646688, 1, 1.484548, 30.699537
2, 38, 4.00485e+19, 1.828293, 34.336533, 1, 1.278438, 20.035210, 0, 0.000000, 0.000000
2, 39, 1.5451e+17, 1.188159, 6.192414, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 40, 9.28467e+17, 1.803035, 35.192650, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 41, 6.90651e+20, 1.465997, 8.848673, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 42, 3.52578e+17, 1.153106, 3.240945, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 43, 4.52312e+17, 1.165442, 8.486091, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 44, 3.82747e+17, 1.554162, 23.967277, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 45, 1.1217e+20, 1.298313, 29.741168, 1, 1.281192, 28.840214, 1, 1.334777, 30.771247
2, 46, 6.61976e+19, 1.025636, 30.373682, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 47, 8.43375e+20, 1.232739, 28.534540, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 48, 2.36892e+17, 1.872348, 9.923326, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 49, 9.87991e+19, 1.609757, 19.860774, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 50, 1.37573e+17, 0.869347, 27.686785, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 51, 1.04217e+17, 1.588363, 27.933104, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 52, 6.12892e+20, 1.701268, 5.678157, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 53, 9.85e+17, 2.259507, 28.236007, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 54, 2.30929e+20, 2.312794, 39.739164, 1, 1.348369, 19.598328, 1, 2.573246, 42.978141
2, 55, 6.40675e+18, 2.417675, 30.298420, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 56, 2.90258e+20, 1.430624, 5.907582, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 57, 1.73171e+20, 0.477365, 12.976871, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 58, 1.30274e+18, 1.724322, 13.869005, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 59, 2.7732e+18, 1.599376, 38.244176, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 60, 1.61325e+19, 1.882826, 37.314831, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
