Seed, ID, Energy, Psi, Impact, Triggered, Psi, Impact, Cherenkov, Psi, Impact
2, 1, 3.32174e+18, 0.204193, 37.500875, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 2, 8.91306e+20, 2.054051, 39.732585, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 3, 7.58414e+17, 1.706733, 8.549018, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 4, 6.05566e+20, 1.500291, 19.987766, 1, 1.440663, 18.484061, 0, 0.000000, 0.000000
2, 5, 4.75557e+19, 0.934771, 21.463004, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 6, 4.6482e+19, 2.620608, 10.508141, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 7, 1.14663e+19, 1.180323, 4.461820, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 8, 5.17552e+17, 1.894582, 23.910189, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 9, 2.16357e+20, 2.466721, 5.426464, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 10, 4.23078e+19, 2.926172, 24.756916, 1, 0.338841, 1.027478, 0, 0.000000, 0.000000
2, 11, 4.11965e+20, 1.246822, 12.147332, 1, 1.232224, 11.919012, 1, 1.265825, 12.479119
2, 12, 4.4245e+20, 1.354251, 6.467635, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 13, 2.59559e+19, 0.804253, 34.416229, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 14, 9.65993e+20, 1.974775, 25.515809, 1, 1.967875, 25.409833, 1, 2.069374, 26.774136
2, 15, 2.82823e+17, 1.673303, 37.455053, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 16, 2.6418e+17, 1.612992, 27.159322, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 17, 5.95409e+19, 1.922569, 25.495420, 1, 1.918892, 25.447591, 1, 2.072091, 27.656587
2, 18, 1.33012e+17, 1.749142, 35.509448, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 19, 3.70229e+17, 2.075575, 26.741973, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 20, 1.88068e+20, 1.457373, 25.437412, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 21, 5.10357e+18, 1.335661, 5.447026, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
