Seed, ID, Energy, Psi, Impact, Triggered, Psi, Impact, Cherenkov, Psi, Impact
1, 1, 1.81134e+20, 1.462033, 32.331444, 1, 1.460264, 32.220056, 1, 1.449048, 31.881992
1, 2, 9.23867e+20, 2.070453, 21.983370, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
1, 3, 5.40617e+20, 2.276599, 16.725446, 1, 0.949735, 4.586934, 1, 2.272364, 16.429661
1, 4, 7.12114e+19, 1.473423, 5.598282, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
1, 5, 1.27131e+18, 2.284473, 31.793716, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
1, 6, 1.34359e+18, 1.860063, 39.510552, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
1, 7, 4.00868e+19, 1.233581, 35.139270, 1, 1.283504, 37.140728, 1, 1.147898, 31.115338
1, 8, 5.12533e+18, 2.080598, 25.672381, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
1, 9, 1.64706e+20, 1.129876, 34.107374, 1, 1.153448, 35.213153, 1, 1.068393, 31.339060
1, 10, 1.35819e+19, 2.706889, 24.657164, 1, 0.448835, 2.007163, 0, 0.000000, 0.000000
1, 11, 8.80493e+19, 1.983900, 4.966864, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
1, 12, 1.77208e+19, 1.311118, 26.722396, 1, 0.414768, 7.552572, 0, 0.000000, 0.000000
1, 13, 3.1428e+20, 1.882850, 14.058137, 1, 1.924311, 14.293741, 1, 1.804827, 13.154024
1, 14, 1.8724e+20, 1.236250, 6.018109, 1, 1.221265, 5.887767, 1, 1.207156, 5.895101
1, 15, 3.82603e+18, 0.915320, 13.059572, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
1, 16, 1.64912e+19, 1.587125, 33.537529, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
1, 17, 5.02195e+20, 1.103613, 32.183970, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
1, 18, 9.01298e+18, 1.509402, 30.205402, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
1, 19, 5.70719e+17, 1.539212, 33.291555, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
1, 20, 3.83054e+19, 0.816443, 10.762883, 1, 0.794744, 10.264491, 1, 0.815915, 10.848728
1, 21, 1.88917e+17, 1.663519, 20.814521, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
1, 22, 5.62632e+17, 1.570542, 30.064771, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
1, 23, 4.40672e+17, 1.481430, 33.874505, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
1, 24, 2.56306e+19, 2.006457, 38.215707, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
1, 25, 4.50039e+19, 1.516868, 24.174927, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
1, 26, 3.18227e+17, 2.599420, 12.349335, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
1, 27, 2.61444e+19, 1.562825, 36.994676, 1, 0.796668, 11.598909, 1, 1.735167, 43.190621
1, 28, 3.61134e+20, 2.336642, 19.681830, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
